NUMDIST;NOM DU PDV;LOCALISATION;VILLE;LATITUDE;LONGITUDE
6504;VISION SAT SIEGE;Angre route du château, 200 metres apres la station SHELL;ABIDJAN / LE PLATEAU;5,405497;-3,390339
13255;VISION SAT AGHEIN CITADEL;2 PLATEAU AGHEIN,à coté de la boulangerie top baguette face;ABIDJAN / COCODY;5,385992;-3,991032
13256;VISION SAT ITC;ABOBO SOGEFIHA,A 500M DU 15EME ARRONDISSEMENT;ABIDJAN / ABOBO;5,438406;-4,0139
13257;VISION SAT MIGA SAT;ANGRE CHÂTEAU APRES BATIM;ABIDJAN / COCODY;5,409716;-3,985467
20896;VISION SAT ABOBO MARAHOUE;Abobo Marahoué;ABIDJAN / ABOBO;5,447228;-6,878641
20897;VISION SAT LOGICAK DOUKUI;DOKUI TEMPLE;ABIDJAN / ABOBO;5,398892;-3,995907
20905;VISION SAT ALEPE;ALEPE VILLAGE;ALEPE;5,501994;-3,666226
20906;VISION SAT NK SERVICES;ABOBO APRES LE  FEU DE LA PHARMACIE D 'ABOBO TE  EN FACE  DE;ABIDJAN / ABOBO;5,410796;-4,00353
20925;VISION SAT ANYAMAN CHÂTEAU;ANYAMA CARREFOUR Château;ANYAMA;5,499386;-4,004936
20931;VISION SAT MAHOU GEOBETON;ANGRE MAHOU IMMEUBLE GEOBETON;ANYAMA;5,399431;-3,998248
20957;VISION SAT PERLE SANON;2 Plateaux Perles SANON;ABIDJAN / COCODY;5,399164;-3,991382
20960;VISION SAT EDENSAT ANGRE OSCAR;ANGRE 8E TRANCHE CARREFOUR DES BANQUES;ABIDJAN / COCODY;5,394311;-3,992183
20964;VISION SAT INITIATIV;DOKUI APRES GEOBETON;ANYAMA;5,403362;-3,997145
20969;VISION SAT ARCHANGE MTS;ANYAMA CENTRE,carrefour hopital;ANYAMA;5,498527;-4,051942
23300;VISION SAT KTC ANYAMA;ANYAMA INSPECTION;ANYAMA;5,488329;-4,051339
23301;VISION SAT MARIA C PAPAYE;ANGRE STAR 5 PAPAYE;ABIDJAN / COCODY;5,401578;-3,993323
23302;VISION SAT NAFORO FINANCE;ABOBO GARE D'ANYAMA NON LOIN DE LA PHAMARCIE ME;ABIDJAN / ABOBO;5,423958;-4,018854
25540;VISION SAT YEMAR DOKUI;ABIDJAN-PLATEAU DOKUI;ABIDJAN / COCODY;5,391612;-4,012735
41770;VISION SAT OUR DISTRIBUTION LINE;ABOBO N'DOTRE SUR L'AXE ABOBO YOPOUGON A 200M DU CARREFOUR N'DOTRE;ABIDJAN / ABOBO;5,442950;-4,069283
41780;VISION SAT CETTIE CONSORTIUM;ABOBO BAOULE DERRIERE LE 34EME ARRONDISSEMENT;ABIDJAN / ABOBO;5,420508;-3,989327
41789;VISION SAT STEPHANE BUSINESS;ABOBO DOKUI OLYMPIQUE CARREFOUR VIDANGE EN FACE DE LA GARE DES TAXIS ;ABIDJAN / ABOBO;5,385549;-4,006399
41794;VISION SAT GLOBAL CHANGE;ABOBO N'DOTRE FACE A LA PHARMACIE OLYMPIQUE;ABIDJAN / ABOBO;5,438861;-4,068182
41795;VISION SAT HOREB SERVICE;ABOBO N'DOTRE  A 500M DE LA NOUVELLE CASSE;ABIDJAN / ABOBO;5,428400;-4,069962
25541;VISION SAT ETS KONE VAZOUMANA;ABOBO PK18,ROUTE ANYAMA;ANYAMA;5,409994;-4,006899
25542;VISION SAT PRESSING JIZREEL;ABIDJAN -ANGRE CHÂTEAU;ABIDJAN / COCODY;5,409509;-3,984228
25544;VISION SAT N'DIAMOI TELECOM;ABOBO BELLE VILLE;ABIDJAN / ABOBO;5,433654;-3,988455
25545;VISION SAT ABOBO AKEIKOI;ABOBO AKEIKOUA;ABIDJAN / ABOBO;5,463157;-4,000149
25546;VISION SAT ABOBO GENDAMERIE;ABOBO GENDARMERIE;ABIDJAN / ABOBO;5,42537;-4,020705
25547;VISION SAT DOMOLA ABOBOGARE;ABOBO GARE;ABIDJAN / ABOBO;5,420081;-4,014859
25548;VISION SAT  ABOBO SAMANKE;ABOBO SANS MANKE;ABIDJAN / ABOBO;5,415898;-4,058066
25549;VISION SAT ANGRE RESI EMILI;ANGRE RESIDENCE EMILI;ANYAMA;5,419937;-3,991221
25550;VISION SAT ETSKOKORA ANYAMAN;ANYAMA FACE TERRAIN;ANYAMA;5,474182;-4,053483
25551;VISON SAT CITE CONCORDE;ABOBO CITE CONCORDE;ANYAMA;5,45104;-4,041832
25552;VISION SAT AGRICOM;ABOBO SAMAKE,AU ROND POINT DE SAMAKE ROUTE ALEPE  EN FACE;ABIDJAN / ABOBO;5,41376;-4,006612
25553;VISION SAT PHCIE MATENIN;ABOBO PHARMACIE MATININ;ABIDJAN / ABOBO;5,437142;-4,018914
25571;VISION SAT GTS;angre château,100M APRES TERMINUS DES TAXIS COMMUNAUX;ANYAMA;5,420535;-3,984096
25572;VISION SAT TEDSAT ABOBO 4ET.;ABOBO 4 ETAGES;ABIDJAN / ABOBO;5,439511;-4,009497
25573;VISION SAT ANGRE CHÂTEAU;ANGRE CHATEAUX;ANYAMA;5,414037;-3,977877
25576;VISION SAT RTE ANYAMA;ABOBO ROUTE ANYAMA;ABIDJAN / ABOBO;5,430888;-4,019317
25577;VISION SAT HIMAYA ABOBO 15e;ABOBO 15 EME ARRONDISSEMENT;ABIDJAN / ABOBO;5,454417;-3,996202
25578;VISION SAT PERFECT AGENCE;ANGRE CHATEAUX FIN GOUDRON;ANYAMA;5,418749;-3,980187
25579;VISION SAT ZAGLO ANYAMAN;ABOBO ROUTE ANYAMA KOBAKRO;ANYAMA;5,443502;-4,068999
25580;VISION SAT TOP EVENEMENTIEL;ABOBO ANONKOUA MARCHE;ANYAMA;5,429751;-4,046414
25581;VISION SAT GRACE IMMO ABOBOTE;ABOBOTE VERS LE MARCHE;ABIDJAN / ABOBO;5,410232;-4,001805
25607;VISION SAT ANGRE 22EME;ANGRE FACE AU COMMISARIAT DU 22EME;ANYAMA;5,399296;-3,991946
25608;VISION SAT ABOBOHABITAT;ABOBO PHARMACIE SOGEFIA;ANYAMA;5,438945;-4,008767
25609;VISION SAT BUP INFO;ANGRE 22EME,DERRIERE BICICI EN ALLANT AU MAHOU;ANYAMA;5,396943;-3,991529
25610;VISION SAT CAMYCENTER CAFEIERS;ANGRE PETRO IVOIRE, apres L'IMMEUBLE INCHALLA;ANYAMA;5,404573;-3,990397
36284;VISION SAT VAD DERRIERE RAIL;ABOBO DERRIERE RAIL;ABIDJAN / ABOBO;5,415239;-4,024839
41646;VISION SAT PHOENIX AZAGUIE;AZAGUIE AOUA;AZAGUIE;5,641141;-4,05417
41762;VISION SAT ETS YACOU;ANGRE CHÂTEAU,EN FACE DU TERRAIN SOTRA;ANYAMA;5,418305;-3,976922
41763;VISION SAT MAKOBUSINESS;DOKUI MARCHE 500M DE L'ALLOCODROME DU DOKUI;ANYAMA;5,400832;-4,004894
41764;VISIONSAT ABIBA BOUTIQUE;ANYAMA CHÂTEAU;ANYAMA;5,447341;-4,070596
41765;VISION SAT YHARIS;ABOBO BELLEVILLE CARREFOUR FOFANA;ANYAMA;5,430002;-3,989125
41766;VISION SAT SANTA MARIA;COCODY 2PLATEAUX AGHEIN GALERIE SANTA MARIA;ANYAMA;5,382732;-3,993061
41767;VISION SAT IVOIRE SAT KENNEDY;SAMAKE,CARREFOUR KENNEDY;ABIDJAN / ABOBO;5,417397;-4,006987
41768;VISION SAT ETS GBEHE;ANYAMA,EN FACE DE L'HOTEL ABOSSIA;ANYAMA;5,466768;-4,054918
41769;VISION SAT EMMANUELLA SERVICE;ANGRE  OSCAR,rue des bar pres d'une boutique start times;ANYAMA;5,405936;-3,993203
41770;VISION SAT OUR DISTRIBUTION LINE;ABOBO N'DOTRE SUR L'AXE ABOBO YOPOUGON A 200M DU CARREFOUR N'DOTRE;ABIDJAN / ABOBO;5,442950;-4,069283
41771;VISION SAT BMK;ANYAMA CARREFOUR CISSE;ANYAMA;5,481923;-4,049546
41772;VISION SAT WORLD SERVICE;ABOBO CARREFOUR  CELESTE AGOUETTO;ABIDJAN / ABOBO;5,43668;-4,058401
41773;VISION SAT ADONNAI CONNEXION;COCODY ANGRE CHÂTEAU  APR SOCOPRIX;ABIDJAN / COCODY;5,414017;-3,979176
41774;VISION SAT MS SERVICE;COCODY ANGRE STAR9B,DERRIER LA PHARMACIE LES ALLES;ABIDJAN / COCODY;5,412118;-3,989163
41775;VISION SAT LINK MULTISERVICES;ANGRE STAR9B ROND POINT;ABIDJAN / COCODY;5,410386;-3,992499
41776;VISION SAT ABOU ROND PT ABOBO;ABOBO ROND POINT GENDARMERIE;ABIDJAN / ABOBO;5,425939;-4,020129
41777;VISION SAT PHARMACIE AZUR;DOKUI CENTRE COMMERCIAL DU PLATEAU DOKUI EN FACE DE LA PHARM;ABIDJAN / ABOBO;5,399733;-4,0067
